Nome da Microrregião;Município;
Manhuaçu;Abre-Campo;73.79
Manhuaçu;Alto Caparaó;73.79
Manhuaçu;Alto Jequitibá;73.79
Manhuaçu;Caparaó;73.79
Manhuaçu;Caputira;73.79
Manhuaçu;Chalé;73.79
Manhuaçu;Durandé;73.79
Manhuaçu;Lajinha;73.79
Manhuaçu;Luisburgo;73.79
Manhuaçu;Manhuaçu;73.79
Manhuaçu;Manhumirim;73.79
Manhuaçu;Martins Soares;73.79
Manhuaçu;Matipó;73.79
Manhuaçu;Pedra Bonita;73.79
Manhuaçu;Reduto;73.79
Manhuaçu;Santa Bárbara do Leste;73.79
